,,,Availability,,,
Company,Quarter,Sector,Transcript,Notes,PPT,Concall Audio
Affle 3i Ltd.,Q4-2024,Communication,TRUE,TRUE,TRUE,TRUE
Affle 3i Ltd.,Q1-2025,Communication,TRUE,TRUE,TRUE,TRUE
Affle 3i Ltd.,Q2-2025,Communication,TRUE,TRUE,TRUE,FALSE
Affle 3i Ltd.,Q3-2025,Communication,TRUE,TRUE,TRUE,TRUE
Affle 3i Ltd.,Q4-2025,Communication,TRUE,TRUE,TRUE,TRUE
Aditya Birla Fashion and Retail Ltd.,Q4-2024,Consumer Goods,TRUE,TRUE,TRUE,FALSE
Aditya Birla Fashion and Retail Ltd.,Q1-2025,Consumer Goods,TRUE,TRUE,TRUE,FALSE
Aditya Birla Fashion and Retail Ltd.,Q2-2025,Consumer Goods,TRUE,TRUE,TRUE,FALSE
Aditya Birla Fashion and Retail Ltd.,Q3-2025,Consumer Goods,TRUE,TRUE,TRUE,FALSE
Aditya Birla Fashion and Retail Ltd.,Q4-2025,Consumer Goods,TRUE,TRUE,TRUE,TRUE
Asian Paints Ltd.,Q2-2025,Consumer Goods,TRUE,TRUE,TRUE,FALSE
Asian Paints Ltd.,Q3-2025,Consumer Goods,TRUE,TRUE,TRUE,TRUE
Asian Paints Ltd.,Q4-2025,Consumer Goods,TRUE,TRUE,TRUE,TRUE
Asian Paints Ltd.,Q1-2026,Consumer Goods,TRUE,TRUE,TRUE,TRUE
Asian Paints Ltd.,Q2-2026,Consumer Goods,TRUE,TRUE,TRUE,TRUE
Britannia Industries Ltd.,Q2-2025,Consumer Goods,TRUE,TRUE,TRUE,FALSE
Britannia Industries Ltd.,Q3-2025,Consumer Goods,TRUE,TRUE,TRUE,TRUE
Britannia Industries Ltd.,Q4-2025,Consumer Goods,TRUE,TRUE,TRUE,FALSE
Britannia Industries Ltd.,Q1-2026,Consumer Goods,TRUE,TRUE,TRUE,TRUE
Britannia Industries Ltd.,Q2-2026,Consumer Goods,TRUE,TRUE,TRUE,TRUE
ITC Ltd.,Q2-2025,Consumer Goods,FALSE,FALSE,TRUE,FALSE
ITC Ltd.,Q3-2025,Consumer Goods,FALSE,FALSE,TRUE,FALSE
ITC Ltd.,Q4-2025,Consumer Goods,FALSE,FALSE,TRUE,FALSE
ITC Ltd.,Q1-2026,Consumer Goods,FALSE,FALSE,TRUE,FALSE
ITC Ltd.,Q2-2026,Consumer Goods,FALSE,FALSE,TRUE,FALSE
Borosil Ltd.,Q2-2025,Consumer Goods,TRUE,TRUE,TRUE,FALSE
Borosil Ltd.,Q3-2025,Consumer Goods,TRUE,TRUE,TRUE,FALSE
Borosil Ltd.,Q4-2025,Consumer Goods,TRUE,TRUE,TRUE,FALSE
Borosil Ltd.,Q1-2026,Consumer Goods,TRUE,TRUE,TRUE,TRUE
Borosil Ltd.,Q2-2026,Consumer Goods,TRUE,TRUE,TRUE,TRUE
Dabur India Ltd.,Q2-2025,Consumer Goods,TRUE,TRUE,TRUE,FALSE
Dabur India Ltd.,Q3-2025,Consumer Goods,TRUE,TRUE,TRUE,TRUE
Dabur India Ltd.,Q4-2025,Consumer Goods,TRUE,TRUE,TRUE,TRUE
Dabur India Ltd.,Q1-2026,Consumer Goods,TRUE,TRUE,TRUE,FALSE
Dabur India Ltd.,Q2-2026,Consumer Goods,TRUE,TRUE,TRUE,TRUE
Adani Energy Solutions Ltd.,Q4-2024,Energy,TRUE,TRUE,TRUE,FALSE
Adani Energy Solutions Ltd.,Q1-2025,Energy,TRUE,TRUE,TRUE,FALSE
Adani Energy Solutions Ltd.,Q2-2025,Energy,TRUE,TRUE,TRUE,FALSE
Adani Energy Solutions Ltd.,Q3-2025,Energy,TRUE,TRUE,TRUE,FALSE
Adani Energy Solutions Ltd.,Q4-2025,Energy,TRUE,TRUE,TRUE,TRUE
Adani Green Energy Ltd.,Q4-2024,Energy,TRUE,TRUE,TRUE,FALSE
Adani Green Energy Ltd.,Q1-2025,Energy,TRUE,TRUE,TRUE,FALSE
Adani Green Energy Ltd.,Q2-2025,Energy,TRUE,TRUE,TRUE,TRUE
Adani Green Energy Ltd.,Q3-2025,Energy,TRUE,TRUE,FALSE,FALSE
Adani Green Energy Ltd.,Q4-2025,Energy,TRUE,TRUE,TRUE,TRUE
Adani Power Ltd.,Q4-2024,Energy,TRUE,TRUE,TRUE,FALSE
Adani Power Ltd.,Q1-2025,Energy,TRUE,TRUE,TRUE,TRUE
Adani Power Ltd.,Q2-2025,Energy,TRUE,TRUE,TRUE,FALSE
Adani Power Ltd.,Q3-2025,Energy,TRUE,TRUE,TRUE,FALSE
Adani Power Ltd.,Q4-2025,Energy,TRUE,TRUE,TRUE,FALSE
Bharat Heavy Electricals Ltd.,Q2-2025,Energy,FALSE,FALSE,TRUE,FALSE
Bharat Heavy Electricals Ltd.,Q3-2025,Energy,FALSE,FALSE,TRUE,FALSE
Bharat Heavy Electricals Ltd.,Q4-2025,Energy,FALSE,FALSE,TRUE,FALSE
Bharat Heavy Electricals Ltd.,Q1-2026,Energy,FALSE,FALSE,FALSE,FALSE
Bharat Heavy Electricals Ltd.,Q2-2026,Energy,FALSE,FALSE,FALSE,FALSE
Tata Power Company Ltd.,Q2-2025,Energy,TRUE,TRUE,TRUE,TRUE
Tata Power Company Ltd.,Q3-2025,Energy,TRUE,TRUE,TRUE,FALSE
Tata Power Company Ltd.,Q4-2025,Energy,TRUE,TRUE,FALSE,TRUE
Tata Power Company Ltd.,Q1-2026,Energy,TRUE,TRUE,TRUE,TRUE
Tata Power Company Ltd.,Q2-2026,Energy,TRUE,TRUE,TRUE,FALSE
NTPC Ltd.,Q2-2025,Energy,TRUE,TRUE,FALSE,FALSE
NTPC Ltd.,Q3-2025,Energy,TRUE,TRUE,FALSE,FALSE
NTPC Ltd.,Q4-2025,Energy,TRUE,TRUE,TRUE,FALSE
NTPC Ltd.,Q1-2026,Energy,TRUE,TRUE,TRUE,FALSE
NTPC Ltd.,Q2-2026,Energy,TRUE,TRUE,FALSE,TRUE
Hitachi Energy India Ltd.,Q2-2025,Energy,TRUE,TRUE,TRUE,FALSE
Hitachi Energy India Ltd.,Q3-2025,Energy,TRUE,TRUE,TRUE,TRUE
Hitachi Energy India Ltd.,Q4-2025,Energy,TRUE,TRUE,TRUE,FALSE
Hitachi Energy India Ltd.,Q1-2026,Energy,TRUE,TRUE,TRUE,FALSE
Hitachi Energy India Ltd.,Q2-2026,Energy,TRUE,TRUE,TRUE,TRUE
360 One Wam Ltd.,Q4-2024,Finance,TRUE,TRUE,TRUE,FALSE
360 One Wam Ltd.,Q1-2025,Finance,FALSE,FALSE,TRUE,TRUE
360 One Wam Ltd.,Q2-2025,Finance,TRUE,TRUE,TRUE,TRUE
360 One Wam Ltd.,Q3-2025,Finance,TRUE,TRUE,TRUE,FALSE
360 One Wam Ltd.,Q4-2025,Finance,TRUE,TRUE,TRUE,FALSE
Aditya Birla Capital Ltd.,Q4-2024,Finance,TRUE,TRUE,TRUE,TRUE
Aditya Birla Capital Ltd.,Q1-2025,Finance,TRUE,TRUE,TRUE,TRUE
Aditya Birla Capital Ltd.,Q2-2025,Finance,TRUE,TRUE,TRUE,FALSE
Aditya Birla Capital Ltd.,Q3-2025,Finance,TRUE,TRUE,TRUE,FALSE
Aditya Birla Capital Ltd.,Q4-2025,Finance,TRUE,TRUE,TRUE,TRUE
State Bank of India,Q2-2025,Finance,TRUE,TRUE,TRUE,FALSE
State Bank of India,Q3-2025,Finance,TRUE,TRUE,TRUE,FALSE
State Bank of India,Q4-2025,Finance,TRUE,TRUE,TRUE,FALSE
State Bank of India,Q1-2026,Finance,TRUE,TRUE,TRUE,FALSE
State Bank of India,Q2-2026,Finance,TRUE,TRUE,TRUE,FALSE
ICICI Bank Ltd.,Q2-2025,Finance,TRUE,TRUE,TRUE,FALSE
ICICI Bank Ltd.,Q3-2025,Finance,TRUE,TRUE,TRUE,FALSE
ICICI Bank Ltd.,Q4-2025,Finance,TRUE,TRUE,TRUE,TRUE
ICICI Bank Ltd.,Q1-2026,Finance,TRUE,TRUE,TRUE,TRUE
ICICI Bank Ltd.,Q2-2026,Finance,TRUE,TRUE,TRUE,TRUE
Muthoot Finance Ltd.,Q2-2025,Finance,TRUE,TRUE,TRUE,TRUE
Muthoot Finance Ltd.,Q3-2025,Finance,TRUE,TRUE,TRUE,TRUE
Muthoot Finance Ltd.,Q4-2025,Finance,TRUE,TRUE,TRUE,FALSE
Muthoot Finance Ltd.,Q1-2026,Finance,TRUE,TRUE,TRUE,TRUE
Muthoot Finance Ltd.,Q2-2026,Finance,TRUE,TRUE,TRUE,TRUE
Bajaj Finserv Ltd.,Q2-2025,Finance,TRUE,TRUE,TRUE,FALSE
Bajaj Finserv Ltd.,Q3-2025,Finance,TRUE,TRUE,TRUE,TRUE
Bajaj Finserv Ltd.,Q4-2025,Finance,TRUE,TRUE,TRUE,TRUE
Bajaj Finserv Ltd.,Q1-2026,Finance,TRUE,TRUE,TRUE,FALSE
Bajaj Finserv Ltd.,Q2-2026,Finance,TRUE,TRUE,TRUE,TRUE
Aditya Birla Capital Ltd.,Q2-2025,Finance,TRUE,TRUE,TRUE,TRUE
Aditya Birla Capital Ltd.,Q3-2025,Finance,TRUE,TRUE,TRUE,TRUE
Aditya Birla Capital Ltd.,Q4-2025,Finance,TRUE,TRUE,TRUE,FALSE
Aditya Birla Capital Ltd.,Q1-2026,Finance,TRUE,TRUE,TRUE,FALSE
Aditya Birla Capital Ltd.,Q2-2026,Finance,TRUE,TRUE,TRUE,TRUE
Ajanta Pharma Ltd.,Q4-2024,Healthcare,TRUE,TRUE,FALSE,FALSE
Ajanta Pharma Ltd.,Q1-2025,Healthcare,TRUE,TRUE,TRUE,FALSE
Ajanta Pharma Ltd.,Q2-2025,Healthcare,TRUE,TRUE,TRUE,TRUE
Ajanta Pharma Ltd.,Q3-2025,Healthcare,TRUE,TRUE,TRUE,FALSE
Ajanta Pharma Ltd.,Q4-2025,Healthcare,TRUE,TRUE,TRUE,TRUE
Apollo Hospitals Enterprise Ltd.,Q2-2025,Healthcare,TRUE,TRUE,TRUE,TRUE
Apollo Hospitals Enterprise Ltd.,Q3-2025,Healthcare,TRUE,TRUE,TRUE,TRUE
